x y z
25 -1.32441 3.57483e-08

0 -1.29932 1.18638e-41
0.423729 -1.29932 1.57473e-07
0.847458 -1.29932 6.80135e-07
1.27119 -1.29932 1.4139e-06
1.69492 -1.29932 2.50314e-06
2.11864 -1.29932 4.28248e-06
2.54237 -1.29932 6.70785e-06
2.9661 -1.29932 9.11021e-06
3.38983 -1.29932 1.25778e-05
3.81356 -1.29932 1.66154e-05
4.23729 -1.29932 2.11796e-05
4.66102 -1.29932 2.45938e-05
5.08475 -1.29932 3.02291e-05
5.50847 -1.29932 3.35302e-05
5.9322 -1.29932 3.71117e-05
6.35593 -1.29932 4.33897e-05
6.77966 -1.29932 4.17295e-05
7.20339 -1.29932 4.5591e-05
7.62712 -1.29932 4.40322e-05
8.05085 -1.29932 4.48138e-05
8.47458 -1.29932 4.40621e-05
8.89831 -1.29932 4.27143e-05
9.32203 -1.29932 4.03295e-05
9.74576 -1.29932 3.73795e-05
10.1695 -1.29932 3.2961e-05
10.5932 -1.29932 3.03862e-05
11.0169 -1.29932 2.77094e-05
11.4407 -1.29932 2.17895e-05
11.8644 -1.29932 1.83458e-05
12.2881 -1.29932 1.40382e-05
12.7119 -1.29932 1.16548e-05
13.1356 -1.29932 8.51808e-06
13.5593 -1.29932 6.39935e-06
13.9831 -1.29932 5.25837e-06
14.4068 -1.29932 4.20473e-06
14.8305 -1.29932 3.37262e-06
15.2542 -1.29932 2.66956e-06
15.678 -1.29932 2.13305e-06
16.1017 -1.29932 1.63742e-06
16.5254 -1.29932 1.35765e-06
16.9492 -1.29932 1.11332e-06
17.3729 -1.29932 9.05488e-07
17.7966 -1.29932 7.7908e-07
18.2203 -1.29932 6.22392e-07
18.6441 -1.29932 5.05494e-07
19.0678 -1.29932 4.2886e-07
19.4915 -1.29932 3.4408e-07
19.9153 -1.29932 2.92095e-07
20.339 -1.29932 2.56812e-07
20.7627 -1.29932 2.10206e-07
21.1864 -1.29932 1.74081e-07
21.6102 -1.29932 1.45891e-07
22.0339 -1.29932 1.21576e-07
22.4576 -1.29932 1.0442e-07
22.8814 -1.29932 9.03226e-08
23.3051 -1.29932 8.27527e-08
23.7288 -1.29932 6.46062e-08
24.1525 -1.29932 5.74037e-08
24.5763 -1.29932 4.91995e-08
25 -1.29932 4.4068e-08

0 -1.27424 0
0.423729 -1.27424 1.91101e-07
0.847458 -1.27424 8.12556e-07
1.27119 -1.27424 1.74008e-06
1.69492 -1.27424 3.07499e-06
2.11864 -1.27424 5.20184e-06
2.54237 -1.27424 8.0446e-06
2.9661 -1.27424 1.09471e-05
3.38983 -1.27424 1.52973e-05
3.81356 -1.27424 2.02356e-05
4.23729 -1.27424 2.53845e-05
4.66102 -1.27424 2.97407e-05
5.08475 -1.27424 3.70919e-05
5.50847 -1.27424 4.12286e-05
5.9322 -1.27424 4.51e-05
6.35593 -1.27424 5.14068e-05
6.77966 -1.27424 5.06234e-05
7.20339 -1.27424 5.47023e-05
7.62712 -1.27424 5.33488e-05
8.05085 -1.27424 5.44979e-05
8.47458 -1.27424 5.34513e-05
