x y z
0.4 0.0816327 0.321659
0.428571 0.0816327 0.336647
0.457143 0.0816327 0.303915
0.485714 0.0816327 0.312216
0.514286 0.0816327 0.254729
0.542857 0.0816327 0.341866
0.571429 0.0816327 0.325628
0.6 0.0816327 0.291203
0.628571 0.0816327 0.279426
0.657143 0.0816327 0.352857
0.685714 0.0816327 0.328757
0.714286 0.0816327 0.375189
0.742857 0.0816327 0.334744
0.771429 0.0816327 0.401353
0.8 0.0816327 0.310796
0.828571 0.0816327 0.385785
0.857143 0.0816327 0.352542
0.885714 0.0816327 0.316677
0.914286 0.0816327 0.350575
0.942857 0.0816327 0.289076
0.971429 0.0816327 0.346721
1 0.0816327 0.31836

0 0.102041 0.346368
0.0285714 0.102041 0.37433
0.0571429 0.102041 0.324364
0.0857143 0.102041 0.326875
0.114286 0.102041 0.334675
0.142857 0.102041 0.348529
0.171429 0.102041 0.289546
0.2 0.102041 0.31309
0.228571 0.102041 0.328737
0.257143 0.102041 0.304432
0.285714 0.102041 0.393104
0.314286 0.102041 0.342091
0.342857 0.102041 0.34693
0.371429 0.102041 0.363846
0.4 0.102041 0.348815
0.428571 0.102041 0.362891
0.457143 0.102041 0.305801
0.485714 0.102041 0.335716
0.514286 0.102041 0.313609
0.542857 0.102041 0.338535
0.571429 0.102041 0.338136
0.6 0.102041 0.369126
0.628571 0.102041 0.362141
0.657143 0.102041 0.307009
0.685714 0.102041 0.357504
0.714286 0.102041 0.271643
0.742857 0.102041 0.332497
0.771429 0.102041 0.330426
0.8 0.102041 0.374127
0.828571 0.102041 0.344522
0.857143 0.102041 0.292064
0.885714 0.102041 0.307316
0.914286 0.102041 0.347955
0.942857 0.102041 0.307473
0.971429 0.102041 0.277596
1 0.102041 0.370144

0 0.122449 0.344068
0.0285714 0.122449 0.332829
0.0571429 0.122449 0.326449
0.0857143 0.122449 0.347481
0.114286 0.122449 0.364522
0.142857 0.122449 0.336502
0.171429 0.122449 0.363122
0.2 0.122449 0.328909
0.228571 0.122449 0.344433
0.257143 0.122449 0.296242
0.285714 0.122449 0.316184
0.314286 0.122449 0.291449
0.342857 0.122449 0.316735
0.371429 0.122449 0.346173
0.4 0.122449 0.346688
0.428571 0.122449 0.333484
0.457143 0.122449 0.332824
0.485714 0.122449 0.31239
0.514286 0.122449 0.345652
0.542857 0.122449 0.365654
0.571429 0.122449 0.274927
0.6 0.122449 0.33083
0.628571 0.122449 0.362599
0.657143 0.122449 0.346747
0.685714 0.122449 0.33928
0.714286 0.122449 0.326298
0.742857 0.122449 0.364048
0.771429 0.122449 0.28954
0.8 0.122449 0.309775
0.828571 0.122449 0.329148
0.857143 0.122449 0.334636
0.885714 0.122449 0.350201
0.914286 0.122449 0.319041
0.942857 0.122449 0.325232
0.971429 0.122449 0.358364
1 0.122449 0.329123

0 0.142857 0.310813
0.0285714 0.142857 0.376374
0.0571429 0.142857 0.328942
0.0857143 0.142857 0.302026
0.114286 0.142857 0.365269
0.142857 0.142857 0.352769
0.171429 0.142857 0.332564
0.2 0.142857 0.349812
0.228571 0.142857 0.358552
0.257143 0.142857 0.372167
0.285714 0.142857 0.34731
0.314286 0.142857 0.323373
0.342857 0.142857 0.366407
0.371429 0.142857 0.335013
0.4 0.142857 0.330598
0.428571 0.142857 0.345011
0.457143 0.142857 0.363157
0.485714 0.142857 0.333028
0.514286 0.142857 0.327276
0.542857 0.142857 0.316356
0.571429 0.142857 0.313937
0.6 0.142857 0.361149
0.628571 0.142857 0.321183
0.657143 0.142857 0.352188
0.685714 0.142857 0.375032
0.714286 0.142857 0.337165
0.742857 0.142857 0.354993
0.771429 0.142857 0.351889
0.8 0.142857 0.32806
0.828571 0.142857 0.308863
0.857143 0.142857 0.351562
0.885714 0.142857 0.33226
0.914286 0.142857 0.377329
0.942857 0.142857 0.346899
0.971429 0.142857 0.313271
1 0.142857 0.296346

0 0.163265 0.377016
0.0285714 0.163265 0.341322
0.0571429 0.163265 0.405022
0.0857143 0.163265 0.371152
0.114286 0.163265 0.359852
0.142857 0.163265 0.37112
0.171429 0.163265 0.364461
0.2 0.163265 0.354921
0.228571 0.163265 0.323968
0.257143 0.163265 0.329619
0.285714 0.163265 0.338251
0.314286 0.163265 0.338151
0.342857 0.163265 0.337809
0.371429 0.163265 0.363572
0.4 0.163265 0.37341
0.428571 0.163265 0.397606
0.457143 0.163265 0.371322
0.485714 0.163265 0.36474
0.514286 0.163265 0.365309
0.542857 0.163265 0.36843
0.571429 0.163265 0.358619
0.6 0.163265 0.327903
0.628571 0.163265 0.323723
0.657143 0.163265 0.381483
0.685714 0.163265 0.307882
0.714286 0.163265 0.365634
0.742857 0.163265 0.329891
0.771429 0.163265 0.32867
0.8 0.163265 0.356969
0.828571 0.163265 0.302447
0.857143 0.163265 0.341228
0.885714 0.163265 0.349363
0.914286 0.163265 0.36361
0.942857 0.163265 0.33885
0.971429 0.163265 0.326161
1 0.163265 0.376391

0 0.183673 0.332506
0.0285714 0.183673 0.344585
0.0571429 0.183673 0.359518
