x y z
0.8 0.142857 -0.430249
0.828571 0.142857 -0.496859
0.857143 0.142857 -0.430021
0.885714 0.142857 -0.441546
0.914286 0.142857 -0.41571
0.942857 0.142857 -0.421314
0.971429 0.142857 -0.464041
1 0.142857 -0.446513

0 0.163265 -0.406737
0.0285714 0.163265 -0.455537
0.0571429 0.163265 -0.410155
0.0857143 0.163265 -0.444709
0.114286 0.163265 -0.402397
0.142857 0.163265 -0.457736
0.171429 0.163265 -0.37638
0.2 0.163265 -0.393684
0.228571 0.163265 -0.395102
0.257143 0.163265 -0.42803
0.285714 0.163265 -0.424003
0.314286 0.163265 -0.450299
0.342857 0.163265 -0.414814
0.371429 0.163265 -0.383171
0.4 0.163265 -0.42812
0.428571 0.163265 -0.4141
0.457143 0.163265 -0.420065
0.485714 0.163265 -0.393568
0.514286 0.163265 -0.45111
0.542857 0.163265 -0.422109
0.571429 0.163265 -0.356474
0.6 0.163265 -0.436641
0.628571 0.163265 -0.442616
0.657143 0.163265 -0.424735
0.685714 0.163265 -0.411241
0.714286 0.163265 -0.416256
0.742857 0.163265 -0.434655
0.771429 0.163265 -0.410576
0.8 0.163265 -0.406959
0.828571 0.163265 -0.443239
0.857143 0.163265 -0.445656
0.885714 0.163265 -0.38285
0.914286 0.163265 -0.426305
0.942857 0.163265 -0.47552
0.971429 0.163265 -0.453628
1 0.163265 -0.395274

0 0.183673 -0.396307
0.0285714 0.183673 -0.38004
0.0571429 0.183673 -0.411759
0.0857143 0.183673 -0.419704
0.114286 0.183673 -0.404777
0.142857 0.183673 -0.377585
0.171429 0.183673 -0.362868
0.2 0.183673 -0.406482
0.228571 0.183673 -0.409172
0.257143 0.183673 -0.356033
0.285714 0.183673 -0.427333
0.314286 0.183673 -0.381842
0.342857 0.183673 -0.368241
0.371429 0.183673 -0.390234
0.4 0.183673 -0.425798
0.428571 0.183673 -0.364249
0.457143 0.183673 -0.391083
0.485714 0.183673 -0.380374
0.514286 0.183673 -0.395333
0.542857 0.183673 -0.392824
